iso3,country,year,region,income_group,under_5_mortality,population_total,population_rural_pct,population_urban_pct,gdp_per_capita_ppp
AFG,Afghanistan,2000,South Asia,Low income,137.6,20779953,75.492,24.508,
AFG,Afghanistan,2001,South Asia,Low income,133.6,21606988,75.251,24.749,
AFG,Afghanistan,2002,South Asia,Low income,129.4,22600770,75.007,24.993,1189.784668
AFG,Afghanistan,2003,South Asia,Low income,125.1,23680871,74.76,25.24,1235.810063
AFG,Afghanistan,2004,South Asia,Low income,120.7,24726684,74.51,25.49,1226.252934
AFG,Afghanistan,2005,South Asia,Low income,116.3,25654277,74.257,25.743,1301.168434
AFG,Afghanistan,2006,South Asia,Low income,111.8,26433049,74.001,25.999,1341.383333
AFG,Afghanistan,2007,South Asia,Low income,107.3,27100536,73.742,26.258,1484.953507
AFG,Afghanistan,2008,South Asia,Low income,102.8,27722276,73.48,26.52,1515.352486
AFG,Afghanistan,2009,South Asia,Low income,98.3,28394813,73.215,26.785,1784.331575
AFG,Afghanistan,2010,South Asia,Low income,93.9,29185507,72.947,27.053,1963.858223
AFG,Afghanistan,2011,South Asia,Low income,89.6,30117413,72.676,27.324,1904.331525
AFG,Afghanistan,2012,South Asia,Low income,85.5,31161376,72.403,27.597,2045.548239
AFG,Afghanistan,2013,South Asia,Low income,81.5,32269589,72.127,27.873,2068.265148
AFG,Afghanistan,2014,South Asia,Low income,77.7,33370794,71.848,28.152,2048.883734
AFG,Afghanistan,2015,South Asia,Low income,74.1,34413603,71.566,28.434,1986.827749
AFG,Afghanistan,2016,South Asia,Low income,70.6,35383032,71.282,28.718,1936.172967
AFG,Afghanistan,2017,South Asia,Low income,67.4,36296113,70.995,29.005,1955.006208
AFG,Afghanistan,2018,South Asia,Low income,64.4,37171921,70.706,29.294,1920.489721
AFG,Afghanistan,2019,South Asia,Low income,61.6,38041754,70.414,29.586,1968.735496
AFG,Afghanistan,2020,South Asia,Low income,59.0,38928341,70.119,29.881,1852.149129
AFG,Afghanistan,2021,South Asia,Low income,56.6,39835428,69.823,30.177,1455.518621
AFG,Afghanistan,2022,South Asia,Low income,,41128771,69.565,30.435,
ALB,Albania,2000,Europe & Central Asia,Upper-middle income,24.3,3089027,58.042,41.958,6192.263593
ALB,Albania,2001,Europe & Central Asia,Upper-middle income,22.7,3060173,57.061,42.939,6870.439893
ALB,Albania,2002,Europe & Central Asia,Upper-middle income,21.1,3051010,56.096,43.904,7160.316833
ALB,Albania,2003,Europe & Central Asia,Upper-middle income,19.6,3039616,55.144,44.856,7558.899984
ALB,Albania,2004,Europe & Central Asia,Upper-middle income,18.2,3026939,54.204,45.796,7957.531238
ALB,Albania,2005,Europe & Central Asia,Upper-middle income,16.8,3011487,53.275,46.725,8417.808027
ALB,Albania,2006,Europe & Central Asia,Upper-middle income,15.6,2992547,52.358,47.642,8918.428751
ALB,Albania,2007,Europe & Central Asia,Upper-middle income,14.4,2970017,51.453,48.547,9499.584347
ALB,Albania,2008,Europe & Central Asia,Upper-middle income,13.4,2947314,50.559,49.441,10221.23348
ALB,Albania,2009,Europe & Central Asia,Upper-middle income,12.5,2927519,49.675,50.325,10260.67295
ALB,Albania,2010,Europe & Central Asia,Upper-middle income,11.7,2913021,48.513,51.487,11259.62377
ALB,Albania,2011,Europe & Central Asia,Upper-middle income,11.0,2905195,47.361,52.639,11548.88323
ALB,Albania,2012,Europe & Central Asia,Upper-middle income,10.4,2900401,46.216,53.784,11681.4429
ALB,Albania,2013,Europe & Central Asia,Upper-middle income,9.9,2895092,45.08,54.92,11791.63649
ALB,Albania,2014,Europe & Central Asia,Upper-middle income,9.5,2889104,43.953,56.047,12001.07724
ALB,Albania,2015,Europe & Central Asia,Upper-middle income,9.2,2880703,42.834,57.166,12239.98226
ALB,Albania,2016,Europe & Central Asia,Upper-middle income,9.1,2876101,41.725,58.275,12632.78772
ALB,Albania,2017,Europe & Central Asia,Upper-middle income,9.1,2873457,40.625,59.375,13083.47913
ALB,Albania,2018,Europe & Central Asia,Upper-middle income,9.3,2866376,39.534,60.466,13622.33318
ALB,Albania,2019,Europe & Central Asia,Upper-middle income,9.5,2854191,38.452,61.548,13915.93822
ALB,Albania,2020,Europe & Central Asia,Upper-middle income,9.8,2837849,37.892,62.108,13437.43355
ALB,Albania,2021,Europe & Central Asia,Upper-middle income,10.2,2811666,37.33,62.67,14559.54483
ALB,Albania,2022,Europe & Central Asia,Upper-middle income,,2775634,36.765,63.235,15291.11135
DZA,Algeria,2000,Middle East & North Africa,Lower-middle income,42.9,31183658,40.899,59.101,10580.44229
DZA,Algeria,2001,Middle East & North Africa,Lower-middle income,41.2,31620134,40.366,59.634,10825.92209
DZA,Algeria,2002,Middle East & North Africa,Lower-middle income,39.5,32055883,39.839,60.161,11299.16521
DZA,Algeria,2003,Middle East & North Africa,Lower-middle income,37.8,32491583,39.317,60.683,11993.18737
DZA,Algeria,2004,Middle East & North Africa,Lower-middle income,36.1,32954676,38.799,61.201,12368.12586
DZA,Algeria,2005,Middle East & North Africa,Lower-middle income,34.4,33435867,38.286,61.714,12918.44026
DZA,Algeria,2006,Middle East & North Africa,Lower-middle income,32.7,33927694,37.778,62.222,13000.12643
DZA,Algeria,2007,Middle East & North Africa,Lower-middle income,31.0,344515,37.275,62.725,13264.878782
DZA,Algeria,2008,Middle East & North Africa,Lower-middle income,29.3,34944475,36.776,63.224,13426.25737
DZA,Algeria,2009,Middle East & North Africa,Lower-middle income,27.7,35481790,36.281,63.719,13460.59807
DZA,Algeria,2010,Middle East & North Africa,Lower-middle income,26.4,36036159,35.791,64.209,13783.56702
DZA,Algeria,2011,Middle East & North Africa,Upper-middle income,25.3,36661452,35.26,64.74,13963.85732
DZA,Algeria,2012,Middle East & North Africa,Upper-middle income,24.3,37383887,34.689,65.311,14277.65349
DZA,Algeria,2013,Middle East & North Africa,Upper-middle income,23.5,38140132,34.079,65.921,14457.17387
DZA,Algeria,2014,Middle East & North Africa,Upper-middle income,22.8,38923687,33.432,66.568,14768.88053
DZA,Algeria,2015,Middle East & North Africa,Upper-middle income,22.3,39728051,32.748,67.252,15090.41437
DZA,Algeria,2016,Middle East & North Africa,Upper-middle income,21.9,40551392,32.029,67.971,15291.6936
DZA,Algeria,2017,Middle East & North Africa,Upper-middle income,21.5,41389189,31.277,68.723,15234.39418
DZA,Algeria,2018,Middle East & North Africa,Upper-middle income,21.1,42228429,30.493,69.507,15159.95767
DZA,Algeria,2019,Middle East & North Africa,Upper-middle income,20.7,43053054,29.678,70.322,15104.97525
DZA,Algeria,2020,Middle East & North Africa,Lower-middle income,20.2,43851043,28.835,71.165,14138.35821
DZA,Algeria,2021,Middle East & North Africa,Lower-middle income,19.7,44616626,27.965,72.035,14394.24433
DZA,Algeria,2022,Middle East & North Africa,Lower-middle income,,45606480,27.069,72.931,14674.34185
AGO,Angola,2000,Sub-Saharan Africa,Lower-middle income,221.7,16395473,48.914,51.086,4995.812631
AGO,Angola,2001,Sub-Saharan Africa,Lower-middle income,215.1,16945753,49.63,50.37,5028.322521
AGO,Angola,2002,Sub-Saharan Africa,Lower-middle income,208.1,17519417,50.35,49.65,5198.159393
AGO,Angola,2003,Sub-Saharan Africa,Lower-middle income,200.5,18121479,51.072,48.928,5063.098485
AGO,Angola,2004,Sub-Saharan Africa,Lower-middle income,192.5,18758145,51.794,48.206,5351.48167
AGO,Angola,2005,Sub-Saharan Africa,Lower-middle income,184.1,19433602,52.515,47.485,6078.694205
AGO,Angola,2006,Sub-Saharan Africa,Lower-middle income,175.4,20149901,42.41,57.59,6810.038139
AGO,Angola,2007,Sub-Saharan Africa,Lower-middle income,166.4,20905363,42.012,57.988,7495.449767
AGO,Angola,2008,Sub-Saharan Africa,Lower-middle income,157.4,21695634,41.616,58.384,7928.399991
AGO,Angola,2009,Sub-Saharan Africa,Lower-middle income,148.4,22514281,41.221,58.779,7222.569438
AGO,Angola,2010,Sub-Saharan Africa,Lower-middle income,139.6,23356246,40.829,59.171,7459.170258
AGO,Angola,2011,Sub-Saharan Africa,Lower-middle income,131.0,24220661,40.438,59.562,7292.384074
AGO,Angola,2012,Sub-Saharan Africa,Lower-middle income,122.9,25107931,40.05,59.95,7487.411699
AGO,Angola,2013,Sub-Saharan Africa,Lower-middle income,115.1,26015780,39.664,60.336,7508.834469
AGO,Angola,2014,Sub-Saharan Africa,Lower-middle income,107.8,26941779,39.281,60.719,7590.316867
AGO,Angola,2015,Sub-Saharan Africa,Lower-middle income,101.0,27884381,38.901,61.099,7293.220162
AGO,Angola,2016,Sub-Saharan Africa,Lower-middle income,94.6,28842484,38.523,61.477,6813.018596
AGO,Angola,2017,Sub-Saharan Africa,Lower-middle income,88.7,29816748,38.148,61.852,6650.584142
AGO,Angola,2018,Sub-Saharan Africa,Lower-middle income,83.4,30809762,37.776,62.224,6210.366378
AGO,Angola,2019,Sub-Saharan Africa,Lower-middle income,78.5,31825295,37.406,62.594,5904.532397
AGO,Angola,2020,Sub-Saharan Africa,Lower-middle income,74.2,32866268,37.039,62.961,5359.176466
