iso3,county,year,residence,improved_wat_%,improved_san_%,under_5_mortality_rates,income_group,region,total_population,gdp_per_capita_$,population_rural_%,population_urban_%
AFG,Afghanistan,2000,Urban,68.9,65.3,137.6,Low income,South Asia,20779953.0,0,75.492,24.508
AFG,Afghanistan,2000,Rural,19.6,21.0,137.6,Low income,South Asia,20779953.0,0,75.492,24.508
AFG,Afghanistan,2001,Urban,70.4,66.9,133.6,Low income,South Asia,21606988.0,0,75.251,24.749
AFG,Afghanistan,2001,Rural,21.6,22.7,133.6,Low income,South Asia,21606988.0,0,75.251,24.749
AFG,Afghanistan,2002,Urban,71.8,68.5,129.4,Low income,South Asia,22600770.0,1189.784668,75.007,24.993
AFG,Afghanistan,2002,Rural,23.6,24.2,129.4,Low income,South Asia,22600770.0,1189.784668,75.007,24.993
AFG,Afghanistan,2003,Urban,73.2,70.0,125.1,Low income,South Asia,23680871.0,1235.810063,74.76,25.24
AFG,Afghanistan,2003,Rural,25.7,25.8,125.1,Low income,South Asia,23680871.0,1235.810063,74.76,25.24
AFG,Afghanistan,2004,Urban,74.6,71.5,120.7,Low income,South Asia,24726684.0,1226.252934,74.51,25.49
AFG,Afghanistan,2004,Rural,27.8,27.3,120.7,Low income,South Asia,24726684.0,1226.252934,74.51,25.49
AFG,Afghanistan,2005,Urban,76.0,72.5,116.3,Low income,South Asia,25654277.0,1301.168434,74.257,25.743
AFG,Afghanistan,2005,Rural,30.0,28.5,116.3,Low income,South Asia,25654277.0,1301.168434,74.257,25.743
AFG,Afghanistan,2006,Urban,77.5,73.1,111.8,Low income,South Asia,26433049.0,1341.383333,74.001,25.999
AFG,Afghanistan,2006,Rural,32.1,29.3,111.8,Low income,South Asia,26433049.0,1341.383333,74.001,25.999
AFG,Afghanistan,2007,Urban,79.0,73.8,107.3,Low income,South Asia,27100536.0,1484.953507,73.742,26.258
AFG,Afghanistan,2007,Rural,34.3,29.9,107.3,Low income,South Asia,27100536.0,1484.953507,73.742,26.258
AFG,Afghanistan,2008,Urban,80.5,74.4,102.8,Low income,South Asia,27722276.0,1515.352486,73.48,26.52
AFG,Afghanistan,2008,Rural,36.5,30.5,102.8,Low income,South Asia,27722276.0,1515.352486,73.48,26.52
AFG,Afghanistan,2009,Urban,81.9,74.9,98.3,Low income,South Asia,28394813.0,1784.331575,73.215,26.785
AFG,Afghanistan,2009,Rural,39.1,30.9,98.3,Low income,South Asia,28394813.0,1784.331575,73.215,26.785
AFG,Afghanistan,2010,Urban,83.5,75.2,93.9,Low income,South Asia,29185507.0,1963.858223,72.947,27.053
AFG,Afghanistan,2010,Rural,41.9,31.3,93.9,Low income,South Asia,29185507.0,1963.858223,72.947,27.053
AFG,Afghanistan,2011,Urban,84.6,76.6,89.6,Low income,South Asia,30117413.0,1904.331525,72.676,27.324
AFG,Afghanistan,2011,Rural,45.5,32.8,89.6,Low income,South Asia,30117413.0,1904.331525,72.676,27.324
AFG,Afghanistan,2012,Urban,85.8,77.9,85.5,Low income,South Asia,31161376.0,2045.548239,72.403,27.597
AFG,Afghanistan,2012,Rural,49.2,34.3,85.5,Low income,South Asia,31161376.0,2045.548239,72.403,27.597
AFG,Afghanistan,2013,Urban,87.0,79.0,81.5,Low income,South Asia,32269589.0,2068.265148,72.127,27.873
AFG,Afghanistan,2013,Rural,53.1,35.7,81.5,Low income,South Asia,32269589.0,2068.265148,72.127,27.873
AFG,Afghanistan,2014,Urban,88.2,80.1,77.7,Low income,South Asia,33370794.0,2048.883734,71.848,28.152
AFG,Afghanistan,2014,Rural,57.1,37.0,77.7,Low income,South Asia,33370794.0,2048.883734,71.848,28.152
AFG,Afghanistan,2015,Urban,89.4,81.0,74.1,Low income,South Asia,34413603.0,1986.827749,71.566,28.434
AFG,Afghanistan,2015,Rural,61.1,38.2,74.1,Low income,South Asia,34413603.0,1986.827749,71.566,28.434
AFG,Afghanistan,2016,Urban,90.0,81.4,70.6,Low income,South Asia,35383032.0,1936.172967,71.282,28.718
AFG,Afghanistan,2016,Rural,63.8,39.1,70.6,Low income,South Asia,35383032.0,1936.172967,71.282,28.718
AFG,Afghanistan,2017,Urban,90.7,81.9,67.4,Low income,South Asia,36296113.0,1955.006208,70.995,29.005
AFG,Afghanistan,2017,Rural,66.5,40.0,67.4,Low income,South Asia,36296113.0,1955.006208,70.995,29.005
AFG,Afghanistan,2018,Urban,91.4,82.3,64.4,Low income,South Asia,37171921.0,1920.489721,70.706,29.294
AFG,Afghanistan,2018,Rural,69.2,40.9,64.4,Low income,South Asia,37171921.0,1920.489721,70.706,29.294
AFG,Afghanistan,2019,Urban,92.0,82.7,61.6,Low income,South Asia,38041754.0,1968.735496,70.414,29.586
AFG,Afghanistan,2019,Rural,71.7,41.7,61.6,Low income,South Asia,38041754.0,1968.735496,70.414,29.586
AFG,Afghanistan,2020,Urban,92.4,83.0,59.0,Low income,South Asia,38928341.0,1852.149129,70.119,29.881
AFG,Afghanistan,2020,Rural,74.0,42.5,59.0,Low income,South Asia,38928341.0,1852.149129,70.119,29.881
AFG,Afghanistan,2021,Urban,92.8,83.4,56.6,Low income,South Asia,39835428.0,1455.518621,69.823,30.177
AFG,Afghanistan,2021,Rural,76.0,43.0,56.6,Low income,South Asia,39835428.0,1455.518621,69.823,30.177
AFG,Afghanistan,2022,Urban,93.1,83.7,0,Low income,South Asia,41128771.0,0,69.565,30.435
AFG,Afghanistan,2022,Rural,76.0,43.4,0,Low income,South Asia,41128771.0,0,69.565,30.435
BGD,Bangladesh,2000,Urban,85.6,67.2,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2000,Rural,76.3,28.6,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2001,Urban,87.4,68.5,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2001,Rural,78.4,31.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2002,Urban,89.2,69.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2002,Rural,80.7,34.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2003,Urban,91.1,71.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2003,Rural,82.9,37.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2004,Urban,92.9,72.3,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2004,Rural,85.0,40.9,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2005,Urban,94.7,73.6,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2005,Rural,87.2,43.9,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2006,Urban,96.6,75.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2006,Rural,89.5,46.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2007,Urban,97.1,76.4,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2007,Rural,91.9,49.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2008,Urban,97.3,77.9,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2008,Rural,94.2,52.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2009,Urban,97.5,79.3,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2009,Rural,96.4,55.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2010,Urban,97.7,80.1,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2010,Rural,97.2,51.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2011,Urban,98.1,82.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2011,Rural,97.9,56.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2012,Urban,98.5,83.9,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2012,Rural,98.6,61.1,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2013,Urban,98.9,85.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2013,Rural,99.4,66.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2014,Urban,99.2,87.5,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2014,Rural,100.0,71.1,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2015,Urban,99.5,89.2,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2015,Rural,100.8,76.1,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2016,Urban,99.7,90.0,0,Unkown,Unkown,0,0,0,0
